"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Penalty Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m99551815644","09/20/2025","","10/25/2025","ILLIT Yunah Bomb Album Barnes & Noble Exclusive Photocard","Completed","Texas","Virginia","17.10","0.74","0.00","1.78","0.00","0.00","0.00","15.32","1.52","0.00","0.00","0.64","0.00"
"m83316347255","09/20/2025","","10/05/2025","Bundle for cynthia5858","Completed","New Jersey","Virginia","27.00","0.74","0.00","2.77","0.00","0.00","0.00","24.23","1.90","0.00","0.00","0.99","0.00"
"m49250319985","09/20/2025","11/04/2025","","Cortis Juhoon Color outside the lines Scene 2 album photocard","Cancelled","Florida","Virginia","15.00","0.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"m81868476201","09/21/2025","","09/27/2025","hearts2hearts Yuha The Chase Music Art musicart fansign photocard pc","Completed","Michigan","Virginia","10.00","0.74","0.00","1.07","0.00","0.00","0.00","8.93","0.62","0.00","0.00","0.38","0.00"
"m98962300129","09/21/2025","","09/27/2025","Cortis Juhoon Color outside the lines Scene 2 album photocard","Completed","Texas","Virginia","15.00","0.74","0.00","1.57","0.00","0.00","0.00","13.43","1.34","0.00","0.00","0.56","0.00"
"m96207813462","09/21/2025","","09/26/2025","Meovv Sooin My eyes open wide album Grill ver. photocard pc","Completed","Ohio","Virginia","3.00","0.74","0.00","0.37","0.00","0.00","0.00","2.63","0.30","0.00","0.00","0.13","0.00"
"b17681508161","09/21/2025","","09/27/2025","Bundle for Nevaeh","Completed","Washington","Virginia","24.00","4.59","0.00","2.85","0.00","0.00","0.00","21.15","2.46","0.00","0.00","1.02","0.00"
"m95697133759","09/21/2025","","09/28/2025","Cortis James Color outside the lines Scene 3 album photocard","Completed","Florida","Virginia","12.00","0.74","0.00","1.27","0.00","0.00","0.00","10.73","0.86","0.00","0.00","0.45","0.00"
"m56826196720","09/22/2025","","09/26/2025","TXT The Star Chapter: Sanctuary Soobin photocard Savior ver","Completed","California","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.55","0.00","0.00","0.20","0.00"
"m48246321122","09/22/2025","","09/26/2025","KiiiKiii Sui Uncut Gem QQ Music Starlight 1 Star photocard","Completed","Florida","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.45","0.00","0.00","0.20","0.00"
"m46338557997","09/22/2025","","09/27/2025","Cortis Martin Color outside the lines Scene 2 album photocard","Completed","California","Virginia","12.00","0.74","0.00","1.27","0.00","0.00","0.00","10.73","1.21","0.00","0.00","0.45","0.00"
"m60238749266","09/22/2025","","09/25/2025","CORTIS Color Outside the Lines photobook ver albums Scene1 Scene2 Scene3","Completed","Texas","Virginia","15.00","0.00","4.59","1.50","0.00","0.00","0.00","8.91","1.28","0.00","0.00","0.54","0.00"
"m28565362427","09/23/2025","","09/30/2025","Enhypen Jay Desire Unleash You Version Album Photocard pc","Completed","New York","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.48","0.00","0.00","0.20","0.00"
"m37145644269","09/23/2025","","10/04/2025","NMIXX Lily Expergo lmlt everline lucky draw photocard","Completed","Texas","Virginia","8.00","0.74","0.00","0.87","0.00","0.00","0.00","7.13","0.75","0.00","0.00","0.31","0.00"
"b82919733092","09/23/2025","","09/29/2025","Bundle for Courtney Anderson","Completed","Ohio","Virginia","35.00","4.59","0.00","3.95","0.00","0.00","0.00","31.05","3.28","0.00","0.00","1.42","0.00"
"b89710097434","09/23/2025","","10/03/2025","Bundle for PrVa1954","Completed","Texas","Virginia","10.00","1.32","0.00","1.13","0.00","0.00","0.00","8.87","0.97","0.00","0.00","0.40","0.00"
"m44807098761","09/23/2025","","10/04/2025","TXT Hueningkai Love Language Japan Weverse Shop Exclusive Photocard pc","Completed","California","Virginia","8.00","0.74","0.00","0.87","0.00","0.00","0.00","7.13","0.77","0.00","0.00","0.31","0.00"
"m56203995015","09/23/2025","","10/03/2025","illit Yunah mini3 bomb weverse shop pob studio choom photocard pc","Completed","California","Virginia","10.00","0.74","0.00","1.07","0.00","0.00","0.00","8.93","1.09","0.00","0.00","0.38","0.00"
"m36198323994","09/23/2025","","10/01/2025","Closeyoureyes minwook eternalt YETIMALL Fansign exclusive photocard pc","Completed","California","Virginia","10.80","0.74","0.00","1.15","0.00","0.00","0.00","9.65","1.18","0.00","0.00","0.41","0.00"
"m21202160502","09/24/2025","","10/04/2025","Cortis Seonghyeon Color outside the lines Scene 2 album photocard","Completed","Ohio","Virginia","10.80","0.74","0.00","1.15","0.00","0.00","0.00","9.65","0.81","0.00","0.00","0.41","0.00"
"m55338501594","09/24/2025","","10/02/2025","KiiiKiii Sui Uncut Gem QQ Music Starlight 1 Star photocard","Completed","California","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.48","0.00","0.00","0.20","0.00"
"m72450149774","09/24/2025","","10/03/2025","Enhypen Sunoo Desire:Unleash Make Version Album Photocard pc desire unleash","Completed","California","Virginia","4.25","0.74","0.00","0.49","0.00","0.00","0.00","3.76","0.34","0.00","0.00","0.17","0.00"
"m72260756049","09/25/2025","","10/03/2025","ITZY Chaeryeong Cheshire Withmuu Event Photocard","Completed","Texas","Virginia","10.00","0.74","0.00","1.07","0.00","0.00","0.00","8.93","0.92","0.00","0.00","0.38","0.00"
"m85239460249","09/25/2025","","10/05/2025","Enhypen Jay Desire Unleash You Version Album Photocard pc","Completed","California","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.49","0.00","0.00","0.20","0.00"
"m10375284828","09/25/2025","","10/04/2025","Kickflip donghyeon mini1 preorder benefit photocard pb","Completed","Pennsylvania","Virginia","4.50","0.74","0.00","0.52","0.00","0.00","0.00","3.98","0.33","0.00","0.00","0.18","0.00"
"m57155699216","09/25/2025","","09/30/2025","meovv my eyes open vvide jelly paw version UNOPENED","Completed","New Jersey","Virginia","90.00","4.59","0.00","9.45","0.00","0.00","0.00","80.55","6.49","0.00","0.00","3.40","0.00"
"m48307771163","09/25/2025","","10/05/2025","Riize Wonbin Get a Guitar gag Photocard","Completed","Oklahoma","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.55","0.00","0.00","0.20","0.00"
"m70753390027","09/27/2025","","10/05/2025","nmixx haewon lmlt expergo soundwave round2 online fansign photocard","Completed","Washington","Virginia","7.20","0.74","0.00","0.79","0.00","0.00","0.00","6.41","0.74","0.00","0.00","0.28","0.00"
"m83555657626","09/27/2025","","10/06/2025","Enhypen Jungwon desire : unleash kakaotalk kkt pre-order benefit pob photocard","Completed","Florida","Virginia","13.50","0.74","0.00","1.42","0.00","0.00","0.00","12.08","1.03","0.00","0.00","0.51","0.00"
"m59531495321","09/28/2025","","10/04/2025","Aespa Ningning Girls Withfans Yizhiyu Yzy R1 POB PC Photocard","Completed","Florida","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.42","0.00","0.00","0.20","0.00"
"m83363622784","09/28/2025","","10/06/2025","Cortis Juhoon Color outside the lines Scene 2 album photocard","Completed","Washington","Virginia","15.00","0.74","0.00","1.57","0.00","0.00","0.00","13.43","1.66","0.00","0.00","0.56","0.00"
"m13924025594","09/28/2025","","10/02/2025","Cortis Martin Color outside the lines US general market photocard","Completed","South Carolina","Virginia","8.00","0.74","0.00","0.87","0.00","0.00","0.00","7.13","0.63","0.00","0.00","0.31","0.00"
"m57087657084","09/28/2025","","10/04/2025","Enhypen Jungwon Desire:Unleash Make Version Album Photocard pc","Completed","Iowa","Virginia","9.00","0.74","0.00","0.97","0.00","0.00","0.00","8.03","0.65","0.00","0.00","0.35","0.00"
"m76753516996","09/29/2025","","10/04/2025","TXT Soobin Sanctuary Counting Stars Fansign Photocard pc","Completed","New Mexico","Virginia","13.00","0.74","0.00","1.37","0.00","0.00","0.00","11.63","1.19","0.00","0.00","0.49","0.00"
"b77151466409","09/29/2025","","10/04/2025","Bundle for Saerandipity","Completed","Washington","Virginia","12.50","1.32","0.00","1.38","0.00","0.00","0.00","11.12","1.48","0.00","0.00","0.49","0.00"
"m25900947333","09/29/2025","","10/04/2025","ACT: TOMORROW US world tour OT5 Star Confetti","Completed","Ohio","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.40","0.00","0.00","0.20","0.00"
"m62522280868","10/01/2025","","10/09/2025","TXT The Star Chapter: Sanctuary Hueningkai photocard Savior ver","Completed","Texas","Virginia","3.00","0.74","0.00","0.37","0.00","0.00","0.00","2.63","0.32","0.00","0.00","0.13","0.00"
"m59566649725","10/01/2025","","10/12/2025","Cortis james Color outside the lines Barnes and Noble  exclusive photocard","Completed","Texas","Virginia","23.50","0.74","0.00","2.42","0.00","0.00","0.00","21.08","2.07","0.00","0.00","0.87","0.00"
"m83139371005","10/01/2025","","10/06/2025","Bundle for g3nnie","Completed","Georgia","Virginia","19.00","4.59","0.00","2.35","0.00","0.00","0.00","16.65","1.71","0.00","0.00","0.84","0.00"
"m67552198343","10/01/2025","","10/05/2025","TOMORROW X TOGETHER ACT : TOMORROW US TOUR MERCH - Zip-Up Hoodie","Completed","Virginia","Virginia","190.00","6.99","0.00","19.69","0.00","0.00","0.00","170.31","10.45","0.00","0.00","7.09","0.00"
"m27379899306","10/01/2025","","10/09/2025","Cortis Martin Color outside the lines US general market photocard","Completed","Georgia","Virginia","8.00","0.74","0.00","0.87","0.00","0.00","0.00","7.13","0.54","0.00","0.00","0.31","0.00"
"m47242392532","10/01/2025","","10/07/2025","Itzy ryujin sneakers checkmate soundwave lucky draw photocard","Completed","California","Virginia","6.00","0.74","0.00","0.67","0.00","0.00","0.00","5.33","0.58","0.00","0.00","0.24","0.00"
"m98816407855","10/02/2025","","10/06/2025","Cortis Martin Color outside the lines US general market photocard","Completed","Maryland","Virginia","8.00","0.74","0.00","0.87","0.00","0.00","0.00","7.13","0.50","0.00","0.00","0.31","0.00"
"m91430435869","10/02/2025","","10/06/2025","hearts2hearts Jiwoo The Chase Music Art musicart fansign photocard pc","Completed","Wisconsin","Virginia","12.00","0.74","0.00","1.27","0.00","0.00","0.00","10.73","0.66","0.00","0.00","0.45","0.00"
"m29215068905","10/02/2025","","10/07/2025","Enhypen Ni-ki Desire:Unleash You Version Album Photocard pc","Completed","New York","Virginia","6.00","0.74","0.00","0.67","0.00","0.00","0.00","5.33","0.62","0.00","0.00","0.24","0.00"
"m83424559307","10/02/2025","","10/06/2025","Bundle for honeybeeslayer","Completed","Maryland","Virginia","50.00","6.99","0.00","5.69","0.00","0.00","0.00","44.31","3.13","0.00","0.00","2.05","0.00"
"m51464067474","10/02/2025","","10/12/2025","IVE Leeseo I’ve mine soundwave lucky draw POB fansign photocard baddie","Completed","California","Virginia","5.70","0.74","0.00","0.64","0.00","0.00","0.00","5.06","0.46","0.00","0.00","0.23","0.00"
"b49080073995","10/03/2025","","10/09/2025","Bundle for 0752am","Completed","Iowa","Virginia","19.70","1.32","0.00","2.10","0.00","0.00","0.00","17.60","1.43","0.00","0.00","0.75","0.00"
"m10399708634","10/03/2025","","10/08/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","California","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.38","0.00","0.00","0.20","0.00"
"m71703535713","10/03/2025","","10/06/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","New York","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.48","0.00","0.00","0.20","0.00"
"m56531133022","10/03/2025","","10/08/2025","TOMORROW X TOGETHER ACT : TOMORROW US TOUR HOODIE MERCH - Medium TXT","Completed","New Jersey","Virginia","190.00","6.99","0.00","19.69","0.00","0.00","0.00","170.31","0.49","0.00","0.00","7.09","0.00"
"m10328315480","10/03/2025","","10/08/2025","Aespa Dirty Work Album Dirty Case","Completed","Illinois","Virginia","4.00","4.59","0.00","0.85","0.00","0.00","0.00","3.15","0.71","0.00","0.00","0.30","0.00"
"b98325762777","10/03/2025","","10/09/2025","Bundle for Talia","Completed","Texas","Virginia","8.00","4.59","0.00","1.25","0.00","0.00","0.00","6.75","1.08","0.00","0.00","0.45","0.00"
"m53466732573","10/03/2025","","10/11/2025","TXT Soobin Love Language Japan Weverse Shop Exclusive Photocard pc","Completed","Illinois","Virginia","18.00","0.74","0.00","1.87","0.00","0.00","0.00","16.13","1.99","0.00","0.00","0.67","0.00"
"m91555699359","10/03/2025","","10/08/2025","Enhypen Heeseung Desire:Unleash Walmart Exclusive Photocard desire unleash","Completed","Virginia","Virginia","65.00","0.74","0.00","6.57","0.00","0.00","0.00","58.43","4.04","0.00","0.00","2.36","0.00"
"m83688326787","10/04/2025","","10/09/2025","I-DLE YUQI 1ST SINGLE ALBUM "MOTIVATION" album OPENED","Completed","Missouri","Virginia","8.50","5.99","0.00","1.44","0.00","0.00","0.00","7.06","1.50","0.00","0.00","0.52","0.00"
"b15519513341","10/04/2025","","10/11/2025","Bundle for Connor Lynn","Completed","North Carolina","Virginia","46.55","4.59","0.00","5.11","0.00","0.00","0.00","41.44","3.71","0.00","0.00","1.84","0.00"
"b79500732891","10/04/2025","","10/19/2025","Bundle for Asti","Completed","Massachusetts","Virginia","73.50","4.59","0.00","7.80","0.00","0.00","0.00","65.70","4.77","0.00","0.00","2.81","0.00"
"m58600427379","10/04/2025","","10/10/2025","BSS teleparty hoshi YES24 exclusive photocard","Completed","Iowa","Virginia","7.70","0.74","0.00","0.84","0.00","0.00","0.00","6.86","0.56","0.00","0.00","0.30","0.00"
"m19832609218","10/04/2025","","10/11/2025","I-DLE YUQI 1ST SINGLE ALBUM "MOTIVATION" album OPENED","Completed","Texas","Virginia","9.00","5.99","0.00","1.49","0.00","0.00","0.00","7.51","1.28","0.00","0.00","0.53","0.00"
"m41638815433","10/04/2025","","10/11/2025","I-DLE YUQI 1ST SINGLE ALBUM "MOTIVATION" album OPENED","Completed","Colorado","Virginia","9.00","5.99","0.00","1.49","0.00","0.00","0.00","7.51","1.53","0.00","0.00","0.53","0.00"
"m97249203457","10/04/2025","","10/11/2025","Enhypen Jake desire : unleash withmuu lucky draw photocard","Completed","California","Virginia","19.00","0.74","0.00","1.97","0.00","0.00","0.00","17.03","1.53","0.00","0.00","0.71","0.00"
"b70448585303","10/04/2025","","10/11/2025","Bundle for cyang6","Completed","Massachusetts","Virginia","20.00","1.32","0.00","2.13","0.00","0.00","0.00","17.87","1.30","0.00","0.00","0.76","0.00"
"m32516933614","10/04/2025","","10/10/2025","List for Jhnea D","Completed","Ohio","Virginia","1.00","0.00","0.00","0.10","0.00","0.00","0.00","0.90","0.07","0.00","0.00","0.03","0.00"
"m85284560762","10/05/2025","","10/08/2025","BABYMONSTER Hello Monsters World Tour US VIP Merch Gift Beanie","Completed","Indiana","Virginia","20.00","4.59","0.00","2.45","0.00","0.00","0.00","17.55","1.78","0.00","0.00","0.88","0.00"
"m94155146149","10/05/2025","","10/09/2025","List for purpleseven","Completed","Maryland","Virginia","1.00","0.74","0.00","0.17","0.00","0.00","0.00","0.83","0.07","0.00","0.00","0.06","0.00"
"m91123831527","10/05/2025","","10/14/2025","Meovv Ella 1st EP Official Merch Baby T-shirt Photocard pc","Completed","Virginia","Virginia","26.00","0.74","0.00","2.67","0.00","0.00","0.00","23.33","1.62","0.00","0.00","0.96","0.00"
"m14457426800","10/05/2025","","10/10/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","California","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.51","0.00","0.00","0.20","0.00"
"m88817763509","10/05/2025","","10/08/2025","hearts2hearts Yeon The Chase Music Art musicart fansign photocard pc","Completed","North Carolina","Virginia","10.80","0.74","0.00","1.15","0.00","0.00","0.00","9.65","0.81","0.00","0.00","0.41","0.00"
"m65347240210","10/05/2025","","10/10/2025","Saymyname Hitomi 2nd Album Starlikemusic fansign photocard","Completed","Florida","Virginia","18.00","0.74","0.00","1.87","0.00","0.00","0.00","16.13","1.36","0.00","0.00","0.67","0.00"
"m81581306787","10/05/2025","","10/10/2025","Cortis james Color outside the lines Barnes and Noble  exclusive photocard","Completed","California","Virginia","23.50","0.74","0.00","2.42","0.00","0.00","0.00","21.08","2.38","0.00","0.00","0.87","0.00"
"m39229052944","10/05/2025","","10/09/2025","Cortis james Color outside the lines Scene 2 album photocard","Completed","California","Virginia","12.00","0.74","0.00","1.27","0.00","0.00","0.00","10.73","1.09","0.00","0.00","0.45","0.00"
"b29105362028","10/06/2025","","10/11/2025","Bundle for Charbau","Completed","Minnesota","Virginia","26.32","4.59","0.00","3.09","0.00","0.00","0.00","23.23","2.68","0.00","0.00","1.11","0.00"
"m54381470999","10/06/2025","","10/13/2025","Cortis Martin Color outside the lines US general market photocard","Completed","Colorado","Virginia","8.00","0.74","0.00","0.87","0.00","0.00","0.00","7.13","1.13","0.00","0.00","0.31","0.00"
"m44722004650","10/07/2025","","10/11/2025","hearts2hearts Yeon The Chase Starriver sr fansign photocard pc","Completed","North Carolina","Virginia","9.00","0.74","0.00","0.97","0.00","0.00","0.00","8.03","0.68","0.00","0.00","0.35","0.00"
"m54831598067","10/07/2025","","10/15/2025","I-DLE YUQI 1ST SINGLE ALBUM "MOTIVATION" album OPENED","Completed","Minnesota","Virginia","9.00","5.99","0.00","1.49","0.00","0.00","0.00","7.51","1.26","0.00","0.00","0.53","0.00"
"m48151519078","10/07/2025","","10/18/2025","Cortis Keonho Color outside the lines Scene 3 album photocard","Completed","California","Virginia","12.00","0.74","0.00","1.27","0.00","0.00","0.00","10.73","1.17","0.00","0.00","0.45","0.00"
"m71716563966","10/08/2025","","10/15/2025","MEOVV Anna My Eyes Open Wide barnes and noble exclusive photocard","Completed","California","Virginia","80.00","4.59","0.00","8.45","0.00","0.00","0.00","71.55","7.16","0.00","0.00","3.04","0.00"
"m60532344985","10/08/2025","","10/14/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","Massachusetts","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.33","0.00","0.00","0.20","0.00"
"m33761062209","10/08/2025","","10/11/2025","meovv Anna My eyes open wide album Grill ver. photocard pc","Completed","New Jersey","Virginia","3.80","0.74","0.00","0.45","0.00","0.00","0.00","3.35","0.31","0.00","0.00","0.16","0.00"
"m86270960973","10/08/2025","","10/16/2025","illit yunah super real me idolstage 1.0 pob photocard","Completed","Minnesota","Virginia","6.00","0.74","0.00","0.67","0.00","0.00","0.00","5.33","0.63","0.00","0.00","0.24","0.00"
"m74211346383","10/08/2025","","10/17/2025","Cortis Martin Color outside the line Kpop Nara exclusive photocard","Completed","California","Virginia","40.00","0.74","0.00","4.07","0.00","0.00","0.00","35.93","3.84","0.00","0.00","1.46","0.00"
"m23257309650","10/08/2025","","10/15/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","Illinois","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.43","0.00","0.00","0.20","0.00"
"m75703874437","10/09/2025","","10/12/2025","Cortis Juhoon Color outside the lines Scene 2 album photocard","Completed","New Jersey","Virginia","15.00","0.74","0.00","1.57","0.00","0.00","0.00","13.43","1.08","0.00","0.00","0.56","0.00"
"b66229906726","10/09/2025","","10/17/2025","Bundle for reibyeong","Completed","Pennsylvania","Virginia","36.00","4.59","0.00","4.05","0.00","0.00","0.00","31.95","2.94","0.00","0.00","1.46","0.00"
"m56516952485","10/09/2025","","10/15/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","Illinois","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.43","0.00","0.00","0.20","0.00"
"m53305803906","10/09/2025","","10/15/2025","Cortis Martin Color outside the line Kpop Nara exclusive photocard","Completed","Colorado","Virginia","50.00","0.74","0.00","5.07","0.00","0.00","0.00","44.93","4.48","0.00","0.00","1.82","0.00"
"m25940966298","10/09/2025","10/09/2025","","hearts2hearts Jiwoo The Chase jump up jumpup fansign photocard pc","Cancelled","Minnesota","Virginia","10.50","0.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"m25940966298","10/09/2025","","10/16/2025","hearts2hearts Jiwoo The Chase jump up jumpup fansign photocard pc","Completed","Minnesota","Virginia","10.50","0.00","0.00","1.05","0.00","0.00","0.00","9.45","0.98","0.00","0.00","0.37","0.00"
"m28439622493","10/09/2025","","10/14/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","California","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.40","0.00","0.00","0.20","0.00"
"m88410276190","10/09/2025","","10/15/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","Ohio","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.43","0.00","0.00","0.20","0.00"
"m92583066312","10/09/2025","","10/15/2025","Kickflip keiju mini1 preorder benefit photocard pb","Completed","New Mexico","Virginia","4.00","0.74","0.00","0.47","0.00","0.00","0.00","3.53","0.37","0.00","0.00","0.17","0.00"
"m22705773697","10/10/2025","","10/19/2025","TXT Soobin midsummer 2022 photocard set","Completed","Hawaii","Virginia","23.94","0.73","0.00","2.46","0.00","0.00","0.00","21.48","1.15","0.00","0.00","0.88","0.00"
"m84405796346","10/10/2025","","10/18/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","Tennessee","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.58","0.00","0.00","0.20","0.00"
"m12580806584","10/11/2025","","10/27/2025","SEALED KickFlip 1st album Trainee Ver.","Completed","California","Virginia","23.00","0.00","0.00","2.30","0.00","0.00","0.00","20.70","2.08","0.00","0.00","0.82","0.00"
"m27677435292","10/11/2025","","10/17/2025","Kiiikiii Kya Photocard Ungut Gem K4 Ktown4u pob photocard pc","Completed","California","Virginia","10.00","0.74","0.00","1.07","0.00","0.00","0.00","8.93","1.12","0.00","0.00","0.38","0.00"
"m73948012043","10/12/2025","","10/20/2025","hearts2hearts Jiwoo The Chase Starriver sr fansign photocard polaroid pc","Completed","California","Virginia","10.00","0.74","0.00","1.07","0.00","0.00","0.00","8.93","1.12","0.00","0.00","0.38","0.00"
"m39582064540","10/12/2025","","10/21/2025","hearts2hearts Jiwoo The Chase kakaotalk kkt pob photocard pre-order pc","Completed","California","Virginia","12.00","0.74","0.00","1.27","0.00","0.00","0.00","10.73","1.34","0.00","0.00","0.45","0.00"
"m91787234623","10/12/2025","","10/19/2025","Enhypen Heeseung Desire Unleash Mine Ver. Album Photocard pc","Completed","Ohio","Virginia","7.20","0.74","0.00","0.79","0.00","0.00","0.00","6.41","0.55","0.00","0.00","0.28","0.00"
"m62824733552","10/12/2025","","10/19/2025","Kickflip minje mini1 bdm bluedreammedia offline lucky draw photocard","Completed","California","Virginia","12.00","0.74","0.00","1.27","0.00","0.00","0.00","10.73","1.31","0.00","0.00","0.45","0.00"
"m91778419014","10/12/2025","","10/20/2025","Enhypen Heeseung Desire:Unleash You Version Album Photocard pc","Completed","California","Virginia","13.00","0.74","0.00","1.37","0.00","0.00","0.00","11.63","1.25","0.00","0.00","0.49","0.00"
"m91480272088","10/12/2025","","10/18/2025","Saymyname Soha 2nd Album Starriver fansign photocard","Completed","Kentucky","Virginia","8.00","0.74","0.00","0.87","0.00","0.00","0.00","7.13","0.54","0.00","0.00","0.31","0.00"
"m49655529550","10/13/2025","","10/22/2025","ILLIT Yunah Magic Bomb Ver. Album Photocard","Completed","California","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.49","0.00","0.00","0.20","0.00"
"m80466390843","10/13/2025","","10/19/2025","Saymyname Junhwi 2nd Album hellolive fansign photocard","Completed","New York","Virginia","12.00","0.74","0.00","1.27","0.00","0.00","0.00","10.73","1.17","0.00","0.00","0.45","0.00"
"m12931636355","10/14/2025","","10/21/2025","Katseye Lara Beautiful Chaos Album Photocard","Completed","Louisiana","Virginia","6.00","0.74","0.00","0.67","0.00","0.00","0.00","5.33","0.73","0.00","0.00","0.24","0.00"
"m43108767023","10/14/2025","","10/23/2025","Enhypen Jay Desire:Unleash Yizhiyu pob pre-order benefit Photocard pc","Completed","Maine","Virginia","21.00","0.74","0.00","2.17","0.00","0.00","0.00","18.83","1.20","0.00","0.00","0.78","0.00"
"m93594106517","10/15/2025","","10/20/2025","Aespa Karina Dirty Work Case Version Official Photocard","Completed","Massachusetts","Virginia","4.50","0.74","0.00","0.52","0.00","0.00","0.00","3.98","0.29","0.00","0.00","0.18","0.00"
"m70974177454","10/15/2025","","10/23/2025","illit Wonhee mini3 bomb weverse shop pob studio choom photocard pc","Completed","Georgia","Virginia","19.00","0.74","0.00","1.97","0.00","0.00","0.00","17.03","1.23","0.00","0.00","0.71","0.00"
"m82099232343","10/15/2025","","10/20/2025","Boynextdoor Jaehyun BBnexdo Myngmyng Doll Plush Keyring FULL SET","Completed","California","Virginia","55.00","4.59","0.00","5.95","0.00","0.00","0.00","49.05","5.00","0.00","0.00","2.14","0.00"
"b54555867618","10/17/2025","","10/20/2025","Bundle for gisellies ⏾","Completed","New Jersey","Virginia","10.00","1.32","0.00","1.13","0.00","0.00","0.00","8.87","0.78","0.00","0.00","0.40","0.00"
"m30745963632","10/17/2025","10/31/2025","","meovv my eyes open vvide jelly paw version UNOPENED","Cancelled","New Jersey","Virginia","85.50","4.59","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"m15108968642","10/17/2025","","10/23/2025","Enhypen Heeseung Desire:Unleash Yizhiyu pob pre-order benefit Photocard pc","Completed","Texas","Virginia","33.00","0.74","0.00","3.37","0.00","0.00","0.00","29.63","2.36","0.00","0.00","1.21","0.00"
"m47805118694","10/17/2025","","10/21/2025","Cortis Keonho Color outside the lines Scene 3 album photocard","Completed","Texas","Virginia","12.00","0.74","0.00","1.27","0.00","0.00","0.00","10.73","1.09","0.00","0.00","0.45","0.00"
"m70490129198","10/17/2025","","10/22/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","New York","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.53","0.00","0.00","0.20","0.00"
"m53176148115","10/17/2025","","10/27/2025","Enhypen Sunghoon Desire:Unleash You Version Album Photocard pc","Completed","New Jersey","Virginia","17.10","0.74","0.00","1.78","0.00","0.00","0.00","15.32","1.22","0.00","0.00","0.64","0.00"
"m97510718322","10/18/2025","","10/23/2025","TXT ACT: TOMORROW US world tour OT5 Star Confetti","Completed","North Carolina","Virginia","5.00","0.74","0.00","0.57","0.00","0.00","0.00","4.43","0.40","0.00","0.00","0.20","0.00"
"m80984573972","10/18/2025","","10/24/2025","ILLIT Yunah Star Bomb Ver. Album Photocard","Completed","California","Virginia","4.50","0.74","0.00","0.52","0.00","0.00","0.00","3.98","0.41","0.00","0.00","0.18","0.00"
"m13087697982","10/19/2025","","10/23/2025","Kickflip juwang mini1 album pb photocard","Completed","Pennsylvania","Virginia","3.00","0.74","0.00","0.37","0.00","0.00","0.00","2.63","0.24","0.00","0.00","0.13","0.00"
"m60819321221","10/19/2025","","10/23/2025","Saymyname Kanny 2nd Album hellolive fansign photocard","Completed","Michigan","Virginia","10.00","0.74","0.00","1.07","0.00","0.00","0.00","8.93","0.62","0.00","0.00","0.38","0.00"
